MaThuoc,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7,Dim_8,Dim_9,Dim_10,Dim_11,Dim_12,Dim_13,Dim_14,Dim_15,Dim_16,Dim_17,Dim_18,Dim_19,Dim_20,Dim_21,Dim_22,Dim_23,Dim_24,Dim_25,Dim_26,Dim_27,Dim_28,Dim_29,Dim_30,Dim_31,Dim_32
TH00000141,0.08541037408491634,0.013206324249674897,0.21662848222105832,0.033687491173880334,0.38113243007895203,0.30127744279310764,0.1943641840101688,-0.2193723442164434,-0.17960499161628685,0.052437770532947084,0.05255428398418294,0.13261392629620752,0.11118998021046249,-0.20970858518440244,-0.09903412693198346,0.03598185456452053,0.062470124572234186,-0.2340793720770939,-0.049608699122499156,0.04157916803952784,0.14122573564817123,0.49279657734735244,-0.34068357140568906,-0.1926366700230429,0.29654399513701596,0.053478543576950546,-0.10292289149416403,-0.0927005811952787,-0.24346527003703866,0.02563763167651315,-0.12286698613211389,0.026203795612142748
TH00000028,0.3309243926494787,-0.007779723237540141,0.11189640959639129,-0.1195785438141991,-0.39540549007936243,0.06514024608047334,0.15860894179681834,-0.1184539825426135,0.11496850165563646,0.42614218810421994,-0.031741238390559506,0.25431604519368495,-0.02857995445986132,0.04089753020222564,-0.13510864514443133,0.1290868539119608,-0.32270585999057666,0.2541691972073617,0.3954424401352347,-0.30807039232945416,0.6069345155257285,0.24754857207997222,0.022826571893919734,-0.05977920073902135,-0.19826589513959336,-0.11023178215948137,0.0021410816245720637,0.33742006075011555,-0.28712748926901055,-0.29305196089916263,0.12911166007556643,-0.4020285434168321
TH00000127,-0.01050204995769722,0.36635003614794387,-0.24252713080587907,0.09584068293122835,-0.1655822206465385,0.37732740310268753,-0.10369091148041959,-0.20722422752513142,0.2894562969039487,0.03793344466941714,0.068134212460751,0.13849196679013898,0.28460378500633315,-0.10195223136338664,-0.16967776374564858,-0.6828864532515835,-0.4691766814829649,0.2078375666020737,0.24343460639597836,0.03997429617141107,0.34917070510608156,0.30349439513415694,0.14713496140797197,0.10996497111317331,-0.21445090138145576,-0.4430570216764467,0.09698890752942525,-0.29879116434568925,-0.09016444746583069,-0.07034118387321779,0.2285364003586699,0.2141002387916934
TH00000198,0.23263848634899098,-0.07643244838446211,-0.07810048369446547,-0.14207922510441395,0.12157585386081092,-0.1813943213994238,-0.14494227888861724,0.41607273094534614,0.263910938060024,0.28498560185927446,-0.03621133591481332,-0.03836413076074854,0.3207171959410126,0.13698425140886428,0.1071439935563957,-0.12154503014511282,0.12019117089318282,0.514920593522901,-0.021584300233466042,0.11470984347004488,-0.2230783778374476,-0.16358242702775946,-0.29455292194243576,0.07977974278605496,-0.17283375928343406,-0.13218827583452622,-0.04985878344624048,0.020517620954898026,0.29736702231514717,0.09083254762037303,-0.020168990785386216,-0.2457254177838626
TH00000056,-0.04575676090410609,0.09235930260280875,0.06677634069367418,-0.22626182498125796,0.10279966088354477,0.10424512694014733,0.2366426833400063,-0.0980923109216157,0.6332690733353811,-0.0665725490649153,-0.11741359726589791,0.5823705231453763,0.39157688033483357,-0.0042572907683834675,-0.11760048583718763,-0.18597707901508764,-0.04777727811110738,-0.11971418422206423,-0.2082870780864027,-0.14891610511845585,0.0524208788575248,0.4235222026767388,0.18992517496387967,0.41488243646462486,-0.006401406728489238,-0.14430686464094306,-0.4402804466008944,-0.05490714178202913,0.34753173583440783,-0.0689833849732886,-0.030839363572676443,-0.029742352959611428
TH00000050,0.24118474529347317,-0.338293258164587,-0.5441230691541774,0.33617766686365,0.10817910798630645,-0.025830500827548758,-0.054580834053836305,0.018508325586176173,-0.19750099977923413,0.17095619069403367,-0.0766602851876471,0.099238603168485,-0.2934481319763833,-0.013051851828524665,0.15014803750314593,0.32396689997529265,-0.07382228212091159,0.1233687452505865,0.03468117264319953,-0.011340090572459813,0.19872103196760701,-0.30903526870438086,-0.015791580978219873,-0.27603070114917894,0.15896446834882108,0.06106948343802685,-0.04903997029897089,-0.03198719580490565,-0.3423442935540032,-0.15738441299712652,0.15601380719559316,0.14864735050864913
TH00000058,0.16475810764462204,-0.2553833542365029,-0.11442700142374965,0.09830140157465198,0.04073980074865955,0.08602349381948382,-0.03986111644767123,0.1987619440154622,0.19068365371218138,0.367521335324997,-0.18247384895590033,0.18581862496814813,-0.15455517672894625,-0.16407697222446083,-0.08112062869418171,-0.006688176729182363,-0.1133034661531078,0.11901272161774581,0.026985014844686926,0.0006470375422834157,0.41714366021070776,0.15515335588842422,0.18398594104601984,0.26414439070119,-0.215733132528155,0.04746191434532699,-0.30294556553752866,-0.3124881182971235,0.09205789722889882,0.2535129281868671,0.03665824048322204,0.1300846617453784
TH00000125,0.27361950159267323,-0.15640119732616775,0.0960529009400955,-0.12868748592664855,-0.045948264853668194,-0.0970054034650282,0.004784169131090456,0.29175918665893835,0.20300843828744133,-0.1323414984389654,-0.4168260347957039,0.02094891221128144,0.17364969491007604,0.27956916710684315,-0.03629523923219623,-0.028444533270318127,-0.17664296418187603,-0.17498743549972942,-0.07579390255104283,0.13977660326323232,-0.09288735313368945,0.04848386156519046,0.12240130874522745,-0.017837405495102685,-0.2628405539704839,-0.13408783666125526,0.001542366104843599,0.2080024094847555,-0.38684911570224617,0.3576286530836004,-0.22567377089276214,-0.045583139600078565
TH00000077,0.20756109081711457,-0.7533516100366935,-0.8217794679221276,-0.008291588642075196,-0.42285410530721407,0.1728244812280258,-0.01977707701059011,0.5542851324171127,0.2312479405411639,0.21222086653086655,-0.37324403167391096,0.20441469969750556,-0.23701374836122385,0.0770904747085289,0.07139861478319363,0.1140027341134398,-0.084786311733772,0.01577918062794322,-0.22524637515127013,-0.19465931272311227,-0.39348532968000655,0.3142494476320364,0.40851611584484415,-0.09317721571006067,0.1374812626978035,0.09741903674420722,-0.25513879479490575,-0.011586876184171174,-0.34706707364061035,0.26993268762043954,0.0256444789467144,0.01797809411599338
TH00000161,-0.011328976217007618,-0.05050359037925989,-0.28291628276970543,0.09888058592252767,0.3141039683246021,0.20591748963791298,0.23097543370345025,0.039951650221244105,-0.0848452712493556,-0.007788116837943898,0.31444137224041635,0.12478405384262561,0.13712577764382183,-0.2646815490546958,-0.3380549172515379,-0.21082325233551988,-0.06221580821920855,0.23475853918996176,-0.44289434051015086,0.10288266372874386,0.2154872587903714,-0.048933549858886025,0.13313097222660963,-0.44927223455217014,-0.030680867219950062,0.08341502903375701,-0.4260177660189047,-0.06826027483994167,0.1790018522312828,-0.33668262245822206,0.49196495224401754,-0.07565897921424423
TH00000191,0.14828326679949744,0.1635377460902879,-0.06527869957670313,0.526274806784727,-0.09710099063126683,-0.06590944246291086,-0.23718796823639657,-0.06638447992051194,-0.48372351643115286,0.11129731359431175,0.42261764552875075,-0.039329055078123336,0.2793114199532348,0.027593103407652607,-0.09305338404199355,0.2714468886562214,-0.5070081798890569,-0.1993571628167482,0.2529896737732964,-0.08837843161425965,0.05962876882758528,0.4081949187882207,0.37451221005470897,-0.0843475740766435,-0.13519957917034006,-0.019810394921125286,0.10753616800659191,0.028109312161620204,-0.22932964569975883,0.33656460888922474,-0.1359496568985381,-0.08188274712445819
TH00000076,0.03997570902581994,0.02568211029750762,-0.10264036629327314,0.06392906775053064,-0.3297736756610498,-0.26997080756952624,-0.18258320064869027,-0.39036645145007376,0.17642455960589412,0.10900551363635641,0.014194975103521468,0.38450719654292287,-0.18809072140886945,0.07662661652091411,-0.21045153016767196,0.1554167141583367,-0.09988884416624041,0.10940335844045387,0.027262580243705235,-0.0378908621924229,-0.14490983946079408,0.29903386381874625,-0.14911435307973495,0.2571035691916409,-0.13200838100682402,-0.10579753558799726,0.03197015639130963,0.3063200888376409,0.13702821069074633,0.1494260331287014,-0.046795251662523525,-0.2048611120239409
TH00000197,0.16964955600678105,-0.12425501711555866,0.4699049975673287,-0.19159537498922868,-0.0351498807423417,-0.24351041098012824,-0.05662186008490401,0.254740358301015,-0.028914915106217166,-0.08506726393028986,-0.3139858052097968,0.24582543102213267,0.19734945902011303,-0.30047885433658283,0.0938201217310014,0.31497163043922327,0.17034544227156176,-0.10358465585175973,-0.11333141861142279,-0.22006643329740094,-0.13141881755956805,0.01571377139929719,-0.11995265447108244,-0.0945338726419867,-0.6289454097362048,0.0555163400555128,0.19672353887390198,0.23302170862017227,0.14077870461770683,-0.24429436786108447,0.02394149757697496,0.17369220737766664
