MaThuoc,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7,Dim_8,Dim_9,Dim_10,Dim_11,Dim_12,Dim_13,Dim_14,Dim_15,Dim_16,Dim_17,Dim_18,Dim_19,Dim_20,Dim_21,Dim_22,Dim_23,Dim_24,Dim_25,Dim_26,Dim_27,Dim_28,Dim_29,Dim_30,Dim_31,Dim_32,Dim_33,Dim_34,Dim_35,Dim_36,Dim_37,Dim_38,Dim_39,Dim_40,Dim_41,Dim_42,Dim_43,Dim_44,Dim_45,Dim_46,Dim_47,Dim_48,Dim_49,Dim_50,Dim_51,Dim_52,Dim_53,Dim_54,Dim_55,Dim_56,Dim_57,Dim_58,Dim_59,Dim_60,Dim_61,Dim_62,Dim_63,Dim_64
TH00000012,-0.15401306763134123,-0.4687082025348132,-0.47091470979320976,0.21761266018263803,-0.4993176867111826,-0.278088761706127,-0.04029702178573883,-0.013870517582139228,0.22545669184839082,0.23370550377962798,-0.0034876649053881214,-0.17462828913310144,0.11882987969607293,-0.2530504345374908,-0.08723947389753507,0.6697109635246886,0.42186022862995987,-0.17414662915538487,-0.13167757543956002,-0.47140243883947575,-0.7764270387924287,0.12568120073393452,-0.06534070249619914,0.19749822111002177,0.29214421018738856,0.053211320665993864,-0.09311751263826888,0.4600828206910815,0.023728511640698533,0.24994151420629843,0.2205950203904937,-0.22438348286166399,-0.35275130817113065,0.014776516338746779,-0.25070531054375605,0.03764098250420408,-0.3723789339670039,0.039635244261516205,-0.3246505827351671,-0.3520926670081126,-0.5200461765548486,-0.3553220798325881,-0.802524565293199,-0.22247677299280724,-0.1719706250981238,0.3614527381832507,-0.7734984104793613,-0.6453054060222448,-0.09531858748004053,0.3271046093190498,-1.0916766235113622,-0.10435829793439029,0.16293885725334828,0.6866811310190192,0.21720723063884625,-0.19030005394975671,-0.2061541441918571,-0.2682348596462952,-0.649856977353312,0.023783692018892088,0.38714570246582775,0.3335048755130745,-0.37086139219695197,0.5708299165637873
TH00000011,0.04346410152787053,-0.510476337805598,-0.3060436361189799,0.22413406342362957,-0.4706273651410819,-0.5698600525894196,0.32606898458606487,-0.2688985482411585,0.4591190824323084,0.09961205746314522,-0.09451301089586928,0.11225149031173615,-0.34970733267681814,-0.19257142116509443,0.04711333558685598,0.49623233915569587,0.24592720945894445,-0.2532246917536351,-0.007663819060268181,-0.37366771259788667,-0.41379458920412876,0.037612542973677776,-0.4118396357095544,0.1097533116700212,0.7603697975857945,0.31101716401576457,-0.3637060811290838,0.04197093724066578,0.05260655645766322,0.39638392040714243,0.33731132673864417,-0.18488402788190597,0.44087208115115356,-0.012066458032796427,-0.4431727408099964,0.041834858625393524,-0.26291773216065134,0.036566002041440074,-0.014773625958080388,-0.25959075962911404,-0.30054804293742604,-0.6826356284360099,-0.30639239083117253,-0.2561015489860563,-0.2962250996984844,0.483419908987558,-0.8207610112183998,-0.006433056241328143,0.4478963726641134,0.33864461238158516,-0.7490445759639788,0.08988636994572034,0.19796108890615147,0.5767854608532057,-0.3486598163818181,0.1862575208149407,0.07133876510007274,-0.44996050771358537,-0.01476750981387042,-0.049669536904341734,0.3590154455548453,0.09250218819481532,-0.14327736584175615,0.41727077314371197
TH00000005,0.49779548331713813,-0.5107909923107228,0.306070042574631,0.7550501142188866,0.1301619958530686,-0.9436004784279114,0.5046197945450854,-0.04892148297295032,0.48657777786255874,0.7184632105540362,0.5680051508740693,0.011228511595667717,0.17679202444380587,0.1866229645956733,0.07297326057567642,0.3062498320998352,0.38618219272237475,0.0016880271129992071,-0.03879539744649908,0.33748181547410927,0.2465841899407383,0.44108691299785696,0.1393601651057348,0.03531808598009221,0.22368805547186132,0.3335829950697577,-0.5596385997846671,-0.27701446925387807,0.3769187501388855,0.5210285921851636,0.011023745334727261,0.15216574175897837,0.1466826455135944,0.8958199754802543,0.2916901307044898,0.021589869856464196,0.49575948066133085,-0.25016777367880333,0.336433437158411,-0.06961497243312385,-0.5622676428264247,0.3515993285114143,0.2370159915690312,-0.9684100101750448,0.30894227054328866,0.10955798869513514,-0.08507047658041285,-0.05560038124161669,0.06605792764951396,-0.26471507604234046,-0.5464687044271963,-0.03845786004076966,-0.24322198237406048,0.46631842617734637,0.18800311372575654,-0.04134204723504578,0.5520675615755939,-0.055113146943866556,-0.03870683091165468,0.10298750854774602,0.04588154913408592,-0.06742316815768248,0.298119854848168,0.49321814027671446
TH00000006,0.12579886595135778,0.3696619127346348,0.2170536817332367,0.7590322511384936,-0.0956505844242689,-1.0706091035808105,0.6718268364416304,-0.043869501689340666,0.3099279565670548,0.11938066930521417,0.04519658151364836,-0.13691539327159116,0.4602158084084906,-0.12709288609611377,0.23718997342577328,-0.08392390629782702,0.41721265738193,0.4664025014411675,-0.26799118180202103,-0.13188357701474698,0.2094476896231055,0.5217551388813415,0.26507922704839315,0.3776719562608369,0.2597782682329335,0.17351048784053044,-0.3718010785604281,-0.5143123235444851,0.03166339507893783,0.8465400114716974,0.05146599563264666,-0.13433025401841303,-0.16026011924094,0.600660681784902,0.2754100179850458,0.32475340900524424,0.4477285182742464,-0.11681118917370262,0.09237566852412356,-0.2911611909218602,-0.677192629919468,0.4187579148625593,0.04025934964412241,-0.23063085334409844,-0.29786448967536794,0.2551824874867014,-0.2693904085977831,-0.15152051280360973,-0.07935165790992432,-0.3287528589083434,-0.3916207675906003,0.15896803668159448,-0.22141846274112323,0.6487291722881778,-0.42222328811337284,-0.5065946287618435,0.3932307314382804,-0.39213496232958756,-0.08902074905507251,0.01566575596060534,0.22261276428272744,-0.5774895100147441,0.1372358517433576,0.2493634133766715
TH00000018,0.2719212634774045,0.029884633399692516,-0.12964760196834874,0.6115540963732147,0.17884068000966172,-0.833989661871406,0.45640857624344283,-0.9478593790678636,0.46891348955439377,0.45306865746574626,0.31101199075306957,-0.019167819895351292,0.047196807823078966,-0.06931612929090354,0.3175258038607794,0.02952823833361546,0.18689072768953827,-0.16496196320136614,0.3342051045946402,0.3458561012053463,-0.4562937945881027,-0.07525243905162614,-0.19496669728176338,0.17877646518555015,0.2932492440733691,0.4223680535024736,-0.29592325788522633,-0.20956323531268994,0.30618194081281724,0.5545793972231011,0.1633432629874277,0.36579085911580583,-0.19595891965875778,0.510357112498394,-0.05397330467994965,0.5971411840774254,0.39431475942791855,-0.0426878660242926,0.5012336043373009,-0.3940618913957303,-0.4284950679891193,0.24144906215424308,-0.4006272517540727,-0.16045740806617934,-0.21015532378548468,-0.01512807516134463,-0.28422059398978083,0.04366952135315148,-0.18271983741351833,-0.009499860448766747,-0.3416667438201377,-0.3101112857103152,-0.314331881189397,0.5549217575799861,-0.4129840812759245,-0.08238147924223535,0.4219814238876412,-0.1604739298344845,0.19130175078200368,-0.15473192537590685,0.27486813208346306,-0.13870496562523993,0.22782218293456669,0.5200642591671732
TH00000085,0.21458229210109633,-0.11572869373719788,0.27582210386385203,-0.2290616102317613,-0.18422416196285288,-0.2489217902758453,-0.08588301390014433,-0.234660288153382,-0.21704355154247165,-0.20357560512102643,-0.06350037944844654,-0.30520321961643215,0.18139288383627394,0.4806834177822562,0.026936745252410722,-0.3558059867047676,0.1317567111825683,0.09584065129614601,-0.06300320687069284,-0.3392193041846485,-0.17123980108502596,0.29300101047836585,0.3230628116145626,-0.10908889389767965,0.2935261079292081,0.0752425769774499,-0.19497253000729195,0.10857794059204284,0.5562811302324371,-0.001514385426504636,0.25262676862655137,-0.2773298431911427,0.18532747484426582,0.2156199774112941,-0.501250093688367,0.11237290933724384,0.19178511313246685,-0.5598663038969023,-0.2558069899355092,-0.07371784329641844,-0.3812704157650144,-0.26802500664624,-0.11820215113637464,0.22587093578465117,-0.4372521492144696,-0.1364248045050551,0.1582892750883856,-0.0551202271450128,-0.42567942315653906,0.3173946225677062,-0.11929488801170202,-0.08751955733159303,-0.0056849998070059755,0.616175818650037,-0.04711500870240764,0.06282973732240142,-0.09335024171969547,0.05457951927598059,0.05933216551826594,-0.16820228925404965,0.010701428731920265,-0.25716031135052897,0.26084391310099514,-0.06993099128190923
TH00000181,-0.3067116417823644,-0.3048541915119652,0.06872430184733312,0.2971296413930844,0.004934848968016289,-0.1408056696871556,-0.019230647077098234,-0.014619961474606395,0.3075505109911297,-0.29161759612292626,-0.12855232980173767,-0.1963160678231634,-0.04994036104572995,-0.019309114817812452,-0.12513571854427638,0.1921855613579825,-0.2338781764173367,-0.1031680415153351,0.25337961203989,-0.12915210308558744,0.1860324293427084,0.4338447386744723,0.4012602909637086,0.03561216468358971,-0.004478299328292468,0.3597491294862216,-0.3240360999640172,-0.25232786825167,0.24875501913296572,0.23038471710640437,0.08554583207224674,0.06368289246303244,0.34930099811944554,-0.32201288870013445,-0.04864657346447231,0.021661572410373614,-0.4653460204591217,-0.09971094592079752,-0.021976414173849372,0.11647478044701487,-0.20866298791644644,-0.01742331525901178,-0.2346862006581163,-0.44332008406036055,-0.39624099064469986,-0.07224046928509867,-0.108460443012773,0.07324307296837744,-0.05809302618154781,0.05739759619413858,0.42079734973944244,-0.3595662331271366,-0.3954989850728964,0.6060592617910667,0.459098706842619,-0.3951287662854199,0.053034243515857046,-0.07913196751216581,0.038810563881393645,-0.06858169687718185,-0.5616754620049937,0.05183660581349034,0.12127462171862609,0.3606179888513354
TH00000049,0.005703194103164647,-0.09503426715253657,0.19047638778107706,0.2148803592412083,-0.398309740882874,-0.328200543734448,-0.08264291111966152,-0.31125275726978213,0.19462527200658572,0.0853761766366938,-0.19046875449454193,0.1271824987236492,0.23066852669696714,0.30946257823238676,0.00903003671436987,-0.04093522330729384,0.255324156513293,-0.22386219277458166,0.2226747379512005,-0.2644492493435443,0.3150087759502305,-0.22435476523993583,0.2783211717130993,-0.4488714921348783,-0.3154199706088783,0.10506893422123857,-0.1074847894511774,0.1172094066678416,-0.030563260355646667,0.27285045378143763,-0.31494173602720593,0.14726651117727946,-0.0603039211971493,-0.18640507660676012,-0.15807283263279623,-0.1892550828877437,0.22002016920349604,-0.17751994564240928,-0.2118481193494494,0.07107500469033813,-0.3322371287913448,-0.012472303508138468,-0.2388377478785693,-0.11851094661135254,0.0641429961389284,0.3922863182919312,0.04771092645869453,-0.36823003757681777,-0.06710443422667267,0.03273171024566549,-0.22304957370013043,-0.09624663637792767,0.09531731726786534,0.3409946506547444,-0.11661950786143532,0.3552434641207758,0.3797406115145127,0.08197135148762144,-0.0009011755141296154,-0.4757256628043964,-0.0616834578723637,-0.022777991694349208,-0.44380976767264363,0.25484117527259315
TH00000026,-0.05061209246007871,0.15123741301850227,-0.10223433330564904,0.018425283891538385,0.010050030546689806,-0.06944445087240182,0.05469387141409511,-0.024974165858880636,0.31676867235727335,0.12163488297997915,-0.003304354353597464,-0.06700262216136188,0.2828700365668054,0.3241103667786867,-0.08693288705501943,0.00016187502743160567,0.036158171387070795,0.2171947908516966,0.443524166176542,-0.10806522963718697,-0.15318772644136117,0.2513460659262241,-0.03884277375868993,0.21052497195689387,0.1268660192047707,-0.09142789951490488,0.503697526950108,-0.5355489316603153,0.2472484932185679,0.5319116246724307,-0.17677736654769716,-0.3003647141932114,0.31933671235347244,0.030491042642471038,0.20125901567969798,0.19302630907453716,0.07854267868590609,-0.18403904501478635,0.2640746270347569,-0.02076366364513375,-0.631172982804627,-0.33454982994787597,-0.4017048501870397,0.31201174640311696,0.032423608981180276,-0.02276216142792906,0.1441910254592119,-0.31879600810629277,-0.07534942893474021,0.32037372102689093,0.061550939907875725,0.22427549212042927,-0.32039148361074876,0.26526975721409995,0.4343690097230341,-0.17490330361490394,-0.057151689831966196,0.31461850582266776,0.04243888029064747,0.11110280065497083,-0.08165563788987,-0.18438457087500393,-0.03480096595689672,-0.10249246195282236
TH00000101,0.16702751269226304,-0.10042621808348322,0.07337220075195133,0.20790490778700327,-0.28291460792291073,0.05570498515689227,-0.10059528427721794,0.02474809170679783,0.04734690287751023,-0.09057914106859705,-0.18981094623653721,-0.053874802360209945,-0.012179681314794877,0.18139493366251222,0.2938392360141778,-0.08240275859745452,0.00016511012512144353,-0.02858516093072734,0.5972899041475859,0.07440107938128894,-0.08693750505187968,0.6078283377700869,-0.06911253961415291,-0.13578131095927545,0.07948718077621608,0.1301764020243125,-0.11497313691545741,-0.00790163628729028,-0.005248001375374812,0.19904187791539288,-0.2222734955194627,0.035415470004086846,-0.00327568849820702,0.061427295146570526,-0.13398750327082937,0.053463996700695064,-0.09985289099947486,-0.11989964419166758,-0.07522172583152978,-0.3241417693808218,-0.5319640475195122,0.17736533323673953,-0.3325706489787433,-0.11060719557367588,0.08598701372863954,-0.20392547187585308,-0.06622739135043523,-0.17304963208374444,-0.12229214521746479,-0.007414880955834194,0.0454609473193056,0.018827218901095424,-0.360526548978202,0.3007556836520051,0.2787328367230828,-0.0505535170342511,-0.27069538532782134,-0.17121153795468513,-0.11186447974476395,-0.19528001614509757,-0.23946334932002059,-0.09364297065286611,-0.1337240615804569,0.03471511733617629
